Home,Away,Round,Date,1,X,2,HG,AG,Awaited,Final
FC Koln,FC Schalke 04,1,07-08,2.05,3.75,3.40,3,1,2.05,1
VfB Stuttgart,RB Leipzig,1,07-08,3.60,3.60,2.00,1,1,3.60,X
Borussia Dortmund,Bayer Leverkusen,1,06-08,2.00,4.10,3.20,1,0,2.00,1
FC Augsburg,SC Freiburg,1,06-08,3.40,3.60,2.10,0,4,2.10,2
VfB BOCHUM,FSV Mainz,1,06-08,3.40,3.40,2.15,1,2,2.15,2
Borussia Monchengladbach,1899 Hoffenheim,1,06-08,2.00,4.00,3.20,3,1,2.00,1
Union Berlin,Hertha Berlin,1,06-08,1.85,3.60,4.20,3,1,1.85,1
VfL Wolfsburg,Werder Bremen,1,06-08,2.05,3.60,3.40,2,2,2.05,X
Eintracht Frankfurt,Bayern Munich,1,05-08,6.00,5.00,1.44,1,6,1.44,2
Bayern Munich,VfL Wolfsburg,2,14-08,1.16,8.00,15.00,2,0,1.16,1
FSV Mainz,Union Berlin,2,14-08,2.25,3.25,3.40,0,0,2.25,X
FC Schalke,Borussia Monchengladbach,2,13-08,3.10,3.80,2.10,2,2,2.10,X
Bayer Leverkusen,FC Augsburg,2,13-08,1.30,6.00,8.50,1,2,1.30,2
Hertha Berlin,Eintracht Frankfurt,2,13-08,2.90,3.60,2.30,1,1,2.30,X
1899 Hoffenheim,VfB BOCHUM,2,13-08,1.55,4.50,5.25,3,2,1.55,1
RB Leipzig,FC Koln,2,13-08,1.45,5.00,6.50,2,2,1.45,X
Werder Bremen,VfB Stuttgart,2,13-08,2.25,3.60,3.00,2,2,2.25,X
SC Freiburg,Borussia Dortmund,2,12-08,2.90,3.75,2.25,1,3,2.25,2
VfB BOCHUM,Bayern Munich,3,21-08,12.00,7.50,1.20,0,7,1.20,2
Eintracht Frankfurt,FC Koln,3,21-08,2.10,3.75,3.25,1,1,2.10,X
Union Berlin,RB Leipzig,3,20-08,3.25,3.40,2.20,2,1,2.20,1
FC Augsburg,FSV Mainz,3,20-08,3.80,3.60,1.90,1,2,1.90,2
Bayer Leverkusen,1899 Hoffenheim,3,20-08,1.57,4.75,4.75,0,3,1.57,2
Borussia Dortmund,Werder Bremen,3,20-08,1.40,5.00,7.00,2,3,1.40,2
VfB Stuttgart,SC Freiburg,3,20-08,2.62,3.60,2.55,0,1,2.62,2
VfL Wolfsburg,FC Schalke,3,20-08,1.83,3.80,4.00,0,0,1.83,X
Borussia Monchengladbach,Hertha Berlin,3,19-08,1.53,4.50,5.75,1,0,1.53,1
Werder Bremen,Eintracht Frankfurt,4,28-08,2.37,3.60,2.87,3,4,2.37,2
FC Koln,VfB Stuttgart,4,28-08,2.37,3.50,2.80,0,0,2.37,X
Bayern Munich,Borussia Monchengladbach,4,27-08,1.16,8.50,13.00,1,1,1.16,X
Hertha Berlin,Borussia Dortmund,4,27-08,4.00,4.33,1.75,0,1,1.75,2
1899 Hoffenheim,FC Augsburg,4,27-08,1.40,5.00,7.00,1,0,1.40,1
FSV Mainz,Bayer Leverkusen,4,27-08,2.30,3.60,2.90,0,3,2.30,2
RB Leipzig,VfL Wolfsburg,4,27-08,1.53,4.75,5.50,2,0,1.53,1
FC Schalke,Union Berlin,4,27-08,3.10,3.40,2.30,1,6,2.30,2
SC Freiburg,VfB BOCHUM,4,26-08,1.53,4.33,6.00,1,0,1.53,1
Borussia Monchengladbach,FSV Mainz,5,04-09,2.37,3.75,2.80,0,1,2.37,2
FC Augsburg,Hertha Berlin,5,04-09,2.55,3.40,2.62,0,2,2.55,2
Eintracht Frankfurt,RB Leipzig,5,03-09,3.40,3.60,2.10,4,0,2.10,1
Bayer Leverkusen,SC Freiburg,5,03-09,1.75,3.80,4.33,2,3,1.75,2
VfB BOCHUM,Werder Bremen,5,03-09,2.90,3.75,2.25,0,2,2.25,2
VfB Stuttgart,FC Schalke,5,03-09,1.70,4.00,4.50,1,1,1.70,X
Union Berlin,Bayern Munich,5,03-09,7.00,5.00,1.40,1,1,1.40,X
VfL Wolfsburg,FC Koln,5,03-09,2.15,3.40,3.40,2,4,2.15,2
Borussia Dortmund,1899 Hoffenheim,5,02-09,1.75,4.20,4.20,1,0,1.75,1
SC Freiburg,Borussia Monchengladbach,6,11-09,2.10,3.75,3.20,0,0,2.10,X
FC Koln,Union Berlin,6,11-09,2.37,3.40,2.90,0,1,2.37,2
FC Schalke,VfB BOCHUM,6,10-09,2.05,3.75,3.40,3,1,2.05,1
Bayern Munich,VfB Stuttgart,6,10-09,1.22,6.50,12.00,2,2,1.22,X
Eintracht Frankfurt,VfL Wolfsburg,6,10-09,1.90,3.75,3.80,0,1,1.90,2
Hertha Berlin,Bayer Leverkusen,6,10-09,4.00,4.00,1.83,2,2,1.83,X
1899 Hoffenheim,FSV Mainz,6,10-09,2.37,3.60,2.80,4,1,2.37,1
RB Leipzig,Borussia Dortmund,6,10-09,2.37,3.80,2.70,3,0,2.37,1
Werder Bremen,FC Augsburg,6,09-09,1.45,4.75,6.50,0,1,1.45,2
1899 Hoffenheim,SC Freiburg,7,18-09,2.15,3.50,3.25,0,0,2.15,X
VfB BOCHUM,FC Koln,7,18-09,3.30,3.80,2.05,1,1,2.05,X
Union Berlin,VfL Wolfsburg,7,18-09,2.05,3.40,3.50,2,0,2.05,1
Borussia Monchengladbach,RB Leipzig,7,17-09,3.10,3.50,2.25,3,0,2.25,1
FC Augsburg,Bayern Munich,7,17-09,15.00,7.50,1.18,1,0,1.18,1
Bayer Leverkusen,Werder Bremen,7,17-09,1.61,4.33,5.00,1,1,1.61,X
Borussia Dortmund,FC Schalke,7,17-09,1.40,4.75,7.00,1,0,1.40,1
VfB Stuttgart,Eintracht Frankfurt,7,17-09,2.60,3.25,2.80,1,3,2.60,2
FSV Mainz,Hertha Berlin,7,16-09,1.72,4.00,4.33,1,1,1.72,X
