Home,Away,Round,Date,1,X,2,HG,AG,Awaited,Final
Juventus,Sassuolo,1,15-08,1.45,4.75,6.5,3,0.0,1.45,1
Verona,Napoli,1,15-08,3.6,3.6,2.0,2,5.0,2.0,2
Salernitana,AS Roma,1,14-08,6.0,4.75,1.5,0,1.0,1.5,2
Spezia,Empoli,1,14-08,2.4,3.4,2.87,1,0.0,2.4,1
Fiorentina,Cremonese,1,14-08,1.6,4.2,5.25,3,2.0,1.6,1
Lazio,Bologna,1,14-08,1.7,4.0,4.75,2,1.0,1.7,1
Lecce,Inter,1,13-08,8.0,5.25,1.36,1,2.0,1.36,2
Monza,Torino,1,13-08,2.55,3.1,2.9,1,2.0,2.55,2
AC Milan,Udinese,1,13-08,1.44,4.75,6.5,4,2.0,1.44,1
Sampdoria,Atalanta,1,13-08,5.25,4.0,1.61,0,2.0,1.61,2
Sampdoria,Juventus,2,22-08,5.0,3.8,1.7,0,0.0,1.7,X
AS Roma,Cremonese,2,22-08,1.2,6.5,11.0,1,0.0,1.2,1
Atalanta,AC Milan,2,21-08,2.8,3.5,2.4,1,1.0,2.4,X
Bologna,Verona,2,21-08,2.05,3.5,3.6,1,1.0,2.05,X
Empoli,Fiorentina,2,21-08,3.2,3.6,2.15,0,0.0,2.15,X
Napoli,Monza,2,21-08,1.3,6.0,9.0,4,0.0,1.3,1
Inter,Spezia,2,20-08,1.12,9.0,19.0,3,0.0,1.12,1
Sassuolo,Lecce,2,20-08,1.8,4.0,3.8,1,0.0,1.8,1
Torino,Lazio,2,20-08,2.75,3.4,2.5,0,0.0,2.5,X
Udinese,Salernitana,2,20-08,1.61,4.0,5.0,0,0.0,1.61,X
Fiorentina,Napoli,3,28-08,3.2,3.5,2.2,0,0.0,2.2,X
Lecce,Empoli,3,28-08,2.2,3.4,3.2,1,1.0,2.2,X
Salernitana,Sampdoria,3,28-08,2.4,3.1,3.1,4,0.0,2.4,1
Verona,Atalanta,3,28-08,3.75,4.0,1.9,0,1.0,1.9,2
AC Milan,3,27-08,1.33,5.5,9.0,2.0,0,1.33,1.0,
Spezia,Sassuolo,3,27-08,3.1,3.5,2.25,2,2.0,2.25,X
Cremonese,Torino,3,27-08,3.6,3.5,2.05,1,2.0,2.05,2
Juventus,AS Roma,3,27-08,2.45,3.2,3.0,1,1.0,2.45,X
Lazio,Inter,3,26-08,3.8,3.8,1.85,3,1.0,1.85,1
Monza,Udinese,3,26-08,2.9,3.5,2.3,1,2.0,2.3,2
Atalanta,Torino,4,01-09,1.85,3.6,4.2,3,1.0,1.85,1
Bologna,Salernitana,4,01-09,2.15,3.25,3.5,1,1.0,2.15,X
Juventus,Spezia,4,31-08,1.3,5.5,10.0,2,0.0,1.3,1
Napoli,Lecce,4,31-08,1.3,5.25,11.0,1,1.0,1.3,X
Empoli,Verona,4,31-08,2.7,3.3,2.6,1,1.0,2.6,X
Sampdoria,Lazio,4,31-08,4.0,3.75,1.85,1,1.0,1.85,X
Udinese,Fiorentina,4,30-08,2.3,3.4,3.0,1,0.0,2.3,1
Inter,Cremonese,4,30-08,1.16,7.0,17.0,3,1.0,1.16,1
AS Roma,Monza,4,30-08,1.33,5.25,9.5,3,0.0,1.33,1
Sassuolo,AC Milan,4,30-08,4.75,4.2,1.61,0,0.0,1.61,X
Torino,Lecce,5,05-09,1.65,3.6,5.75,1,0.0,1.65,1
Monza,Atalanta,5,05-09,4.0,3.8,1.8,0,2.0,1.8,2
Salernitana,Empoli,5,05-09,2.3,3.4,3.0,2,2.0,2.3,X
Udinese,AS Roma,5,04-09,3.75,3.3,2.05,4,0.0,2.05,1
Verona,Sampdoria,5,04-09,2.2,3.4,3.25,2,1.0,2.2,1
Spezia,Bologna,5,04-09,3.1,3.25,2.3,2,2.0,2.3,X
Cremonese,Sassuolo,5,04-09,2.62,3.5,2.6,0,0.0,2.6,X
Lazio,Napoli,5,03-09,2.62,3.5,2.55,1,2.0,2.55,2
AC Milan,Inter,5,03-09,2.7,3.2,2.7,3,2.0,2.7,1
Fiorentina,Juventus,5,03-09,3.0,3.1,2.5,1,1.0,2.5,X
Empoli,AS Roma,6,12-09,5.0,3.75,1.7,1,2.0,1.7,2
Juventus,Salernitana,6,11-09,1.55,3.8,6.5,2,2.0,1.55,X
Lazio,Verona,6,11-09,1.61,4.2,5.0,2,0.0,1.61,1
Bologna,Fiorentina,6,11-09,3.25,3.4,2.2,2,1.0,2.2,1
Lecce,Monza,6,11-09,2.37,3.25,3.0,1,1.0,2.37,X
Sassuolo,Udinese,6,11-09,2.62,3.5,2.6,1,3.0,2.6,2
Atalanta,Cremonese,6,11-09,1.36,5.25,8.0,1,1.0,1.36,X
Sampdoria,AC Milan,6,10-09,7.0,4.33,1.45,1,2.0,1.45,2
Inter,Torino,6,10-09,1.55,4.33,5.5,1,0.0,1.55,1
Napoli,Spezia,6,10-09,1.28,6.0,9.0,1,0.0,1.28,1
AC Milan,Napoli,7,18-09,2.3,3.25,3.2,1,2.0,2.3,2
AS Roma,Atalanta,7,18-09,2.1,3.5,3.4,0,1.0,2.1,2
Cremonese,Lazio,7,18-09,4.0,3.75,1.85,0,4.0,1.85,2
Fiorentina,Verona,7,18-09,1.8,3.75,4.33,2,0.0,1.8,1
Monza,Juventus,7,18-09,4.0,3.8,1.83,1,0.0,1.83,1
Udinese,Inter,7,18-09,3.8,3.6,1.95,3,1.0,1.95,1
Torino,Sassuolo,7,17-09,1.8,3.6,4.5,0,1.0,1.8,2
Spezia,Sampdoria,7,17-09,2.55,3.4,2.75,2,1.0,2.55,1
Bologna,Empoli,7,17-09,2.1,3.6,3.4,0,1.0,2.1,2
Salernitana,Lecce,7,16-09,2.25,3.4,3.25,1,2.0,2.25,2
Atalanta,Fiorentina,8,02-10,2.05,3.50,3.50,1,0.0,2.05,1
Empoli,AC Milan,8,01-10,5.75,4.20,1.55,1,3.0,1.55,2
Verona,Udinese,8,03-10,3.50,3.40,2.10,1,2.0,2.10,2
Inter,AS Roma,8,01-10,2.10,3.40,3.50,1,2.0,2.10,2
