Name,Rank,Points,Last 5,FG,AG,GD,W,D,L,All points %,Home points %,Away points %,W %,D %,L %
Union Berlin,1,17,WWDWW,15,4,11,5,2,0,80.95,83.33,77.78,71.43,28.57,0.0
Borussia Dortmund,2,15,WLWWL,9,7,2,5,0,2,71.43,75.0,66.67,71.43,0.0,28.57
SC Freiburg,3,14,DDWWW,10,5,5,4,2,1,66.67,44.44,83.33,57.14,28.57,14.29
1899 Hoffenheim,4,13,DWLWW,12,7,5,4,1,2,61.9,83.33,33.33,57.14,14.29,28.57
Bayern Munich,5,12,LDDDW,19,6,13,3,3,1,57.14,55.56,58.33,42.86,42.86,14.29
Borussia Monchengladbach,6,12,WDLDW,10,5,5,3,3,1,57.14,75.0,33.33,42.86,42.86,14.29
Eintracht Frankfurt,7,11,WLWWD,14,13,1,3,2,2,52.38,33.33,77.78,42.86,28.57,28.57
FSV Mainz 05,8,11,DLWLW,7,10,-3,3,2,2,52.38,22.22,75.0,42.86,28.57,28.57
FC Koln,9,10,DLWDD,11,8,3,2,4,1,47.62,44.44,50.0,28.57,57.14,14.29
Werder Bremen,10,9,DLWLW,13,12,1,2,3,2,42.86,11.11,66.67,28.57,42.86,28.57
FC Augsburg,11,9,WWLLL,5,10,-5,3,0,4,42.86,25.0,66.67,42.86,0.0,57.14
RB Leipzig,12,8,LWLWL,9,12,-3,2,2,3,38.1,77.78,8.33,28.57,28.57,42.86
Hertha Berlin,13,6,DDWLL,7,9,-2,1,3,3,28.57,22.22,33.33,14.29,42.86,42.86
FC Schalke 04,14,6,LWDLD,8,14,-6,1,3,3,28.57,44.44,16.67,14.29,42.86,42.86
Bayer Leverkusen,15,5,DDLWL,9,12,-3,1,2,4,23.81,8.33,44.44,14.29,28.57,57.14
VfB Stuttgart,16,5,LDDDL,7,10,-3,0,5,2,23.81,16.67,33.33,0.0,71.43,28.57
VfL Wolfsburg,17,5,LWLLD,5,12,-7,1,2,4,23.81,22.22,25.0,14.29,28.57,57.14
VfL BOCHUM,18,1,DLLLL,5,19,-14,0,1,6,4.76,8.33,0.0,0.0,14.29,85.71
