Name,Rank,Points,Last 5,FG,AG,GD,W,D,L,All points %,Home points %,Away points %,W %,D %,L %
Real Madrid,1,25,WWDWW,22,8,14,8,1,0,92.59,83.33,100.00,88.89,11.11,0.00
Barcelona,2,22,LWWWW,21,4,17,7,1,1,81.48,83.33,80.00,77.78,11.11,11.11
Atletico Madrid,3,19,WWWLW,15,7,8,6,1,2,70.37,50.00,86.67,66.67,11.11,22.22
Real Betis,4,19,WDLWW,13,6,7,6,1,2,70.37,100.00,33.33,66.67,11.11,22.22
Real Sociedad,5,19,WWWWL,15,12,3,6,1,2,70.37,58.33,80.00,66.67,11.11,22.22
Athletic Club,6,17,LDWWW,17,6,11,5,2,2,62.96,55.56,77.78,55.56,22.22,22.22
Valencia,7,14,DWDWL,16,10,6,4,2,3,51.85,66.67,33.33,44.44,22.22,33.33
Osasuna,8,13,LDLWW,9,8,1,4,1,3,54.17,60.00,44.44,50.00,12.50,37.50
Villarreal,9,12,LDDLW,10,3,7,3,3,2,50.00,66.67,44.44,37.50,37.50,25.00
Rayo Vallecano,10,11,DLWLW,10,12,-2,3,2,4,40.74,58.33,26.67,33.33,22.22,44.44
Celta Vigo,11,10,LLWLL,10,16,-6,3,1,5,37.04,46.67,25.00,33.33,11.11,55.56
Mallorca,12,9,LDLWL,7,10,-3,2,3,4,33.33,26.67,41.67,22.22,33.33,44.44
Espanyol,13,9,WDDLL,12,16,-4,2,3,4,33.33,26.67,41.67,22.22,33.33,44.44
Sevilla,14,9,WDLDW,9,14,-5,2,3,4,33.33,16.67,46.67,22.22,33.33,44.44
Girona,15,8,DLLLW,12,15,-3,2,2,5,29.63,46.67,8.33,22.22,22.22,55.56
Getafe,16,8,DLLWW,8,16,-8,2,2,5,29.63,26.67,33.33,22.22,22.22,55.56
Valladolid,17,8,LDWLL,6,14,-8,2,2,5,29.63,33.33,26.67,22.22,22.22,55.56
Almeria,18,7,LWLLL,8,15,-7,2,1,6,25.93,50.00,6.67,22.22,11.11,66.67
Cadiz,19,6,DDDWL,4,17,-13,1,3,5,22.22,13.33,33.33,11.11,33.33,55.56
Elche,20,3,DDLLL,6,21,-15,0,3,6,11.11,16.67,6.67,0.00,33.33,66.67
