Name,Rank,Points,Last 5,FG,AG,GD,W,D,L,All points %,Home points %,Away points %,W %,D %,L %
Paris Saint Germain,1,35,WWWDW,36,8,28,11,2,0,89.74,88.89,90.48,84.62,15.38,0.00
Lens,2,30,WWWLW,22,8,14,9,3,1,76.92,100.00,50.00,69.23,23.08,7.69
Rennes,3,27,WWWWW,28,12,16,8,3,2,69.23,85.71,50.00,61.54,23.08,15.38
Lorient,4,27,LDDWW,24,18,6,8,3,2,69.23,72.22,66.67,61.54,23.08,15.38
Marseille,5,24,DLLLW,22,11,11,7,3,3,61.54,61.90,61.11,53.85,23.08,23.08
Monaco,6,24,WLDWW,25,18,7,7,3,3,61.54,52.38,72.22,53.85,23.08,23.08
Lille,7,22,LWWWL,25,22,3,7,1,5,56.41,66.67,47.62,53.85,7.69,38.46
Lyon,8,20,WWLDL,22,16,6,6,2,5,51.28,76.19,22.22,46.15,15.38,38.46
Clermont Foot,9,18,DLDWW,17,20,-3,5,3,5,46.15,50.00,42.86,38.46,23.08,38.46
Nice,10,16,WDDWL,13,16,-3,4,4,5,41.03,27.78,52.38,30.77,30.77,38.46
Toulouse,11,16,LDWDW,19,23,-4,4,4,5,41.03,57.14,22.22,30.77,30.77,38.46
Estac Troyes,12,13,LDDLD,24,28,-4,3,4,6,33.33,38.89,28.57,23.08,30.77,46.15
Reims,13,13,DWDDD,14,20,-6,2,7,4,33.33,33.33,33.33,15.38,53.85,30.77
Montpellier,14,12,LLLLL,22,27,-5,4,0,9,30.77,42.86,16.67,30.77,0.00,69.23
Nantes,15,12,DDWLL,15,21,-6,2,6,5,30.77,50.00,14.29,15.38,46.15,38.46
Auxerre,16,12,WLDLD,13,25,-12,3,3,7,30.77,42.86,16.67,23.08,23.08,53.85
Strasbourg,17,10,DDLWL,14,21,-7,1,7,5,25.64,19.05,33.33,7.69,53.85,38.46
Stade Brestois 29,18,10,DWLLD,14,26,-12,2,4,7,25.64,16.67,33.33,15.38,30.77,53.85
Ajaccio,19,8,LLDWL,8,20,-12,2,2,9,20.51,5.56,33.33,15.38,15.38,69.23
Angers,20,8,LLLLL,14,31,-17,2,2,9,20.51,19.05,22.22,15.38,15.38,69.23
