Name,Rank,Points,Last 5,FG,AG,GD,W,D,L,All points %,Home points %,Away points %,W %,D %,L %
Arsenal,1,28,DWWWW,25,11,14,9,1,1,84.85,100.00,72.22,81.82,9.09,9.09
Manchester City,2,26,WLWWW,36,11,25,8,2,1,78.79,100.00,53.33,72.73,18.18,9.09
Tottenham,3,23,LLWWL,23,14,9,7,2,3,63.89,83.33,44.44,58.33,16.67,25.00
Newcastle,4,21,WWDWW,20,10,10,5,6,1,58.33,66.67,50.00,41.67,50.00,8.33
Chelsea,5,21,DDWWW,16,11,5,6,3,2,63.64,73.33,55.56,54.55,27.27,18.18
Manchester United,6,20,DWDWL,16,16,0,6,2,3,60.61,66.67,55.56,54.55,18.18,27.27
Fulham,7,18,WWDLL,22,22,0,5,3,4,50.00,61.11,38.89,41.67,25.00,33.33
Liverpool,8,16,LWWLD,22,13,9,4,4,3,48.48,77.78,13.33,36.36,36.36,27.27
Brighton,9,15,LDLLD,15,14,1,4,3,4,45.45,53.33,38.89,36.36,27.27,36.36
Brentford,10,14,LDWLD,18,21,-3,3,5,4,38.89,61.11,16.67,25.00,41.67,33.33
Everton,11,13,WLLLW,11,12,-1,3,4,5,36.11,44.44,27.78,25.00,33.33,41.67
Crystal Palace,12,13,LWDWL,12,16,-4,3,4,4,39.39,55.56,20.00,27.27,36.36,36.36
Bournemouth,13,13,LDWDD,10,23,-13,3,4,4,39.39,44.44,33.33,27.27,36.36,36.36
Aston Villa,14,12,WLLDD,11,16,-5,3,3,6,33.33,55.56,11.11,25.00,25.00,50.00
Southampton,15,12,DWDLL,11,19,-8,3,3,6,33.33,33.33,33.33,25.00,25.00,50.00
Leicester,16,11,WWDLW,21,24,-3,3,2,7,30.56,44.44,16.67,25.00,16.67,58.33
West Ham,17,11,LDWWL,9,12,-3,3,2,6,33.33,46.67,22.22,27.27,18.18,54.55
Leeds,18,9,LLLLD,13,18,-5,2,3,6,27.27,44.44,6.67,18.18,27.27,54.55
Wolves,19,9,LLWLL,5,18,-13,2,3,7,25.00,44.44,5.56,16.67,25.00,58.33
Nottingham Forest,20,9,WDLDL,8,23,-15,2,3,7,25.00,38.89,11.11,16.67,25.00,58.33
